,Unnamed: 0,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Home Team Initials,Away Team Initials,Date,month,year,time,Home_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Scored,Home_Team_Win_Rate,Away_Team_Win_Rate,Head_to_Head_Wins,Is_Home_Advantage,Result
460,460,1990.0,Semi-finals,San Paolo,Naples ,Italy,1.0,1.0,Argentina,59978.0,ITA,ARG,3.0,7.0,1990.0,20:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
553,553,1998.0,Group C,Stade du Parc Lescure,Bordeaux ,South Africa,2.0,2.0,Saudi Arabia,31800.0,RSA,KSA,24.0,6.0,1998.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
746,746,2010.0,Group D,Soccer City Stadium,Johannesburg ,Ghana,0.0,1.0,Germany,83391.0,GHA,GER,23.0,6.0,2010.0,20:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
206,206,1970.0,Group 3,Jalisco,Guadalajara ,Brazil,,1.0,Czechoslovakia,52897.0,BRA,TCH,3.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
392,392,1986.0,Group D,Jalisco,Guadalajara ,Northern Ireland,0.0,3.0,Brazil,51000.0,NIR,BRA,12.0,6.0,1986.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
397,397,1986.0,Round of 16,Estadio Azteca,Mexico City ,Mexico,2.0,0.0,Bulgaria,114580.0,MEX,BUL,15.0,6.0,1986.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
722,722,2010.0,Group H,Mbombela Stadium,Nelspruit ,Honduras,0.0,1.0,Chile,32664.0,HON,CHI,16.0,6.0,2010.0,13:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
217,217,1970.0,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany FR,3.0,1.0,Peru,17875.0,FRG,PER,10.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
4,4,1930.0,Group 1,Parque Central,Montevideo ,Argentina,1.0,0.0,France,23409.0,ARG,FRA,15.0,7.0,1930.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
642,642,2002.0,Third place,Daegu World Cup Stadium,Daegu ,Korea Republic,2.0,3.0,Turkey,63483.0,KOR,TUR,29.0,6.0,2002.0,20:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
762,762,2010.0,Round of 16,Loftus Versfeld Stadium,Tshwane/Pretoria ,Paraguay,0.0,0.0,Japan,36742.0,PAR,JPN,29.0,6.0,2010.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
612,612,2002.0,Group A,Incheon Football Stadium,Incheon ,Denmark,2.0,0.0,France,48100.0,DEN,FRA,11.0,6.0,2002.0,15:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
546,546,1998.0,Group G,La Mosson,Montpellier ,Colombia,1.0,0.0,Tunisia,29800.0,COL,TUN,22.0,6.0,1998.0,17:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
683,683,2006.0,Group C,"FIFA World Cup Stadium, Munich",Munich ,C�te d'Ivoire,3.0,2.0,"rn"">Serbia and Montenegro",66000.0,CIV,SCG,21.0,6.0,2006.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
98,98,1954.0,Semi-finals,La Pontaise,Lausanne ,Hungary,,2.0,Uruguay,45000.0,HUN,URU,30.0,6.0,1954.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
573,573,1998.0,Quarter-finals,La Beaujoire,Nantes ,Brazil,3.0,2.0,Denmark,35500.0,BRA,DEN,3.0,7.0,1998.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
406,406,1986.0,Quarter-finals,Cuauhtemoc,Puebla ,Spain,1.0,1.0,Belgium,45000.0,ESP,BEL,22.0,6.0,1986.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
502,502,1994.0,Round of 16,Cotton Bowl,Dallas ,Saudi Arabia,1.0,3.0,Sweden,60277.0,KSA,SWE,3.0,7.0,1994.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
47,47,1938.0,Quarter-finals,Stade Olympique,Colombes ,Italy,3.0,1.0,France,58455.0,ITA,FRA,12.0,6.0,1938.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
32,32,1934.0,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,3.0,1.0,Germany,15000.0,TCH,GER,3.0,6.0,1934.0,16:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
